"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned"
"Kony Ealy","(N/A)","DE","1846","W (Wed)","Bye","0","0","","0%"
"Malik Earl","(N/A)","WR","1847","FA","Bye","0","0","","0%"
"Dominique Easley","(N/A)","LB","1848","W (Wed)","Bye","0","0","","0%"
"Nick Easley","BUF","WR","1849","FA","Bye","0","0","null","0%"
"Cordera Eason","CIN","RB","1850","FA","Bye","0","0","null","0%"
"Andrew East","(N/A)","LB","1851","W (Wed)","Bye","0","0","","0%"
"Matthew Eaton","(N/A)","WR","1852","FA","Bye","0","0","","0%"
"Clayton Echard","(N/A)","TE","1853","FA","Bye","0","0","","0%"
"Kasim Edebali","(N/A)","DE","1854","W (Wed)","Bye","0","0","","0%"
"Ejiro Ederaine","(N/A)","LB","1855","W (Wed)","Bye","0","0","","0%"
"Marcus Edmond","(N/A)","CB","1856","W (Wed)","Bye","0","0","","0%"
"Chris Edwards","SF","S","1857","W (Wed)","Bye","0","0","null","0%"
"Javier Edwards","(N/A)","DT","1858","W (Wed)","Bye","0","0","","0%"
"Lavar Edwards","(N/A)","DE","1859","W (Wed)","Bye","0","0","","0%"
"Shannon Edwards","(N/A)","S","1860","W (Wed)","Bye","0","0","","0%"
"Duke Ejiofor","HOU","LB","1861","W (Wed)","Bye","0","0","null","0%"
"E.J. Ejiya","(N/A)","LB","1862","W (Wed)","Bye","0","0","","0%"
"Ken Ekanem","(N/A)","LB","1863","W (Wed)","Bye","0","0","","0%"
"Hendrick Ekpe","(N/A)","LB","1864","W (Wed)","Bye","0","0","","0%"
"Ifo Ekpre-Olomu","(N/A)","CB","1865","W (Wed)","Bye","0","0","","0%"
"Matt Elam","(N/A)","S","1866","W (Wed)","Bye","0","0","","0%"
"Corn Elder","CAR","CB","1867","W (Wed)","Bye","0","0","null","0%"
"Ukeme Eligwe","LV","LB","1868","W (Wed)","Bye","0","0","null","0%"
"Dannell Ellerbe","(N/A)","LB","1869","W (Wed)","Bye","0","0","","0%"
"Emmanuel Ellerbee","SEA","LB","1870","W (Wed)","Bye","0","0","null","0%"
"Andre Ellington","(N/A)","RB","1871","FA","Bye","0","0","","0%"
"Bruce Ellington","(N/A)","WR","1872","FA","Bye","0","0","","0%"
"DeAndre Elliott","(N/A)","CB","1873","W (Wed)","Bye","0","0","","0%"
"Alex Ellis","PHI","TE","1874","FA","Bye","0","0","null","0%"
"Brooks Ellis","(N/A)","LB","1875","W (Wed)","Bye","0","0","","0%"
"Jordan Ellis","(N/A)","RB","1876","FA","Bye","0","0","","0%"
"Trae Elston","(N/A)","S","1877","W (Wed)","Bye","0","0","","0%"
"Terren Encalade","(N/A)","WR","1878","FA","Bye","0","0","","0%"
"Darius English","(N/A)","LB","1879","W (Wed)","Bye","0","0","","0%"
"Kabion Ento","GB","CB","1880","W (Wed)","Bye","0","0","null","0%"
"Ian Eriksen","(N/A)","RB","1881","FA","Bye","0","0","","0%"
"Donnie Ernsberger","(N/A)","TE","1882","FA","Bye","0","0","","0%"
"Gavin Escobar","(N/A)","TE","1883","FA","Bye","0","0","","0%"
"Joseph Este","(N/A)","CB,S","1884","W (Wed)","Bye","0","0","","0%"
"Mike Estes","(N/A)","TE","1885","FA","Bye","0","0","","0%"
"Brisly Estime","(N/A)","WR","1886","FA","Bye","0","0","","0%"
"Danny Etling","ATL","QB","1887","FA","Bye","0","0","null","0%"
"Amba Etta-Tawo","(N/A)","WR","1888","FA","Bye","0","0","","0%"
"Kaleb Eulls","(N/A)","DT","1889","W (Wed)","Bye","0","0","","0%"
"Dane Evans","(N/A)","QB","1890","FA","Bye","0","0","","0%"
"Jerod Evans","(N/A)","QB","1891","FA","Bye","0","0","","0%"
"Marwin Evans","(N/A)","S","1892","W (Wed)","Bye","0","0","","0%"
"Nico Evans","(N/A)","RB","1893","FA","Bye","0","0","","0%"
"Mikell Everette","(N/A)","CB,S","1894","W (Wed)","Bye","0","0","","0%"
"Austin Exford","(N/A)","S","1895","W (Wed)","Bye","0","0","","0%"
"Christopher Ezeala","(N/A)","RB","1896","FA","Bye","0","0","","0%"
"Danny Ezechukwu","(N/A)","DE","1897","W (Wed)","Bye","0","0","","0%"
"Nick Fairley","(N/A)","DT","1898","W (Wed)","Bye","0","0","","0%"
"David Fales","NYJ","QB","1899","FA","Bye","0","0","null","0%"
"Jason Fanaika","(N/A)","LB","1900","W (Wed)","Bye","0","0","","0%"
"Aiulua Fanene","(N/A)","DT","1901","W (Wed)","Bye","0","0","","0%"
"Rashard Fant","CHI","CB","1902","W (Wed)","Bye","0","0","null","0%"
"Koa Farmer","(N/A)","LB","1903","W (Wed)","Bye","0","0","","0%"
"B.J. Farrow","(N/A)","WR","1904","FA","Bye","0","0","","0%"
"Kenneth Farrow","(N/A)","RB","1905","FA","Bye","0","0","","0%"
"Anthony Fasano","(N/A)","TE","1906","FA","Bye","0","0","","0%"
"Josh Fatu","(N/A)","DT","1907","W (Wed)","Bye","0","0","","0%"
"Jeremy Faulk","(N/A)","DE","1908","W (Wed)","Bye","0","0","","0%"
"Joseph Fauria","(N/A)","TE","1909","FA","Bye","0","0","","0%"
"Terrence Fede","(N/A)","DE","1910","W (Wed)","Bye","0","0","","0%"
"Travis Feeney","(N/A)","LB","1911","W (Wed)","Bye","0","0","","0%"
"D'Andre Ferby","(N/A)","RB","1912","FA","Bye","0","0","","0%"
"Ego Ferguson","(N/A)","DT","1913","W (Wed)","Bye","0","0","","0%"
"Jazz Ferguson","(N/A)","WR","1914","FA","Bye","0","0","","0%"
"Riley Ferguson","(N/A)","QB","1915","FA","Bye","0","0","","0%"
"Tyler Ferguson","(N/A)","QB","1916","FA","Bye","0","0","","0%"
"Jerod Fernandez","(N/A)","LB","1917","W (Wed)","Bye","0","0","","0%"
"Drew Ferris","(N/A)","LB","1918","W (Wed)","Bye","0","0","","0%"
"Bryon Fields Jr.","(N/A)","CB","1919","W (Wed)","Bye","0","0","","0%"
"Mark Fields","MIN","CB","1920","W (Wed)","Bye","0","0","null","0%"
"Shay Fields","(N/A)","WR","1921","FA","Bye","0","0","","0%"
"Cortland Finnegan","(N/A)","CB","1922","W (Wed)","Bye","0","0","","0%"
"Nick Fitzgerald","(N/A)","QB","1923","FA","Bye","0","0","","0%"
"Connor Flagel","(N/A)","DE","1924","W (Wed)","Bye","0","0","","0%"
"Matt Flanagan","(N/A)","TE","1925","FA","Bye","0","0","","0%"
"Demetrius Flannigan-Fowles","SF","LB","1926","W (Wed)","Bye","0","0","null","0%"
"Coby Fleener","(N/A)","TE","1927","FA","Bye","0","0","","0%"
"Ladell Fleming","(N/A)","LB","1928","W (Wed)","Bye","0","0","","0%"
"Matt Fleming","(N/A)","WR","1929","FA","Bye","0","0","","0%"
"Maurice Fleming","(N/A)","CB","1930","W (Wed)","Bye","0","0","","0%"
"Dimitri Flowers","(N/A)","RB","1931","FA","Bye","0","0","","0%"
"Marquis Flowers","(N/A)","LB","1932","W (Wed)","Bye","0","0","","0%"
"Quinton Flowers","(N/A)","RB","1933","FA","Bye","0","0","","0%"
"Malcom Floyd","(N/A)","WR","1934","FA","Bye","0","0","","0%"
"Michael Floyd","(N/A)","WR","1935","FA","Bye","0","0","","0%"
"Sharrif Floyd","(N/A)","DT","1936","W (Wed)","Bye","0","0","","0%"
"Tevin Floyd","(N/A)","LB","1937","W (Wed)","Bye","0","0","","0%"
"David Fluellen","(N/A)","RB","1938","FA","Bye","0","0","","0%"
"Matt Flynn","(N/A)","QB","1939","FA","Bye","0","0","","0%"
"Juwan Foggie","(N/A)","LB","1940","W (Wed)","Bye","0","0","","0%"
"James Folston","(N/A)","DE,LB","1941","W (Wed)","Bye","0","0","","0%"
"Andrew Ford","(N/A)","QB","1942","FA","Bye","0","0","","0%"
"Dontez Ford","(N/A)","WR","1943","FA","Bye","0","0","","0%"
"Keith Ford","(N/A)","RB","1944","FA","Bye","0","0","","0%"
"Armanti Foreman","(N/A)","WR","1945","FA","Bye","0","0","","0%"
"DOnta Foreman","(N/A)","RB","1946","FA","Bye","0","0","","0%"
"Malik Foreman","(N/A)","CB","1947","W (Wed)","Bye","0","0","","0%"
"Josh Forrest","(N/A)","LB","1948","W (Wed)","Bye","0","0","","0%"
"Austin Fort","DEN","TE","1949","FA","Bye","0","0","null","0%"
"Jody Fortson","KC","WR","1950","FA","Bye","0","0","null","0%"
"Khairi Fortt","(N/A)","LB","1951","W (Wed)","Bye","0","0","","0%"
"D.J. Foster","ARI","RB","1952","FA","Bye","0","0","null","0%"
"Mason Foster","(N/A)","LB","1953","W (Wed)","Bye","0","0","","0%"
"Reece Fountain","IND","WR","1954","FA","Bye","0","0","null","0%"
"Jalston Fowler","(N/A)","RB","1955","FA","Bye","0","0","","0%"
"Deshon Foxx","(N/A)","WR","1956","FA","Bye","0","0","","0%"
"A.J. Francis","(N/A)","DT","1957","W (Wed)","Bye","0","0","","0%"
"John Franklin III","TB","CB","1958","W (Wed)","Bye","0","0","null","0%"
"Jarvion Franklin","(N/A)","RB","1959","FA","Bye","0","0","","0%"
"Johnathan Franklin","(N/A)","RB","1960","FA","Bye","0","0","","0%"
"Zach Franklin","(N/A)","CB","1961","W (Wed)","Bye","0","0","","0%"
"John Franklin-Myers","NYJ","DE","1962","W (Wed)","Bye","0","0","null","0%"
"Andrew Franks","(N/A)","K","1963","FA","Bye","0","0","","0%"
"Jordan Franks","CIN","TE","1964","FA","Bye","0","0","null","0%"
"Joshua Frazier","(N/A)","DT","1965","W (Wed)","Bye","0","0","","0%"
"Marcell Frazier","(N/A)","DE,DT","1966","W (Wed)","Bye","0","0","","0%"
"Mose Frazier","(N/A)","WR","1967","FA","Bye","0","0","","0%"
"Josh Freeman","(N/A)","QB","1968","FA","Bye","0","0","","0%"
"KeShun Freeman","(N/A)","LB","1969","W (Wed)","Bye","0","0","","0%"
"Jonathan Freeny","(N/A)","LB","1970","W (Wed)","Bye","0","0","","0%"
"Nate Freese","(N/A)","K","1971","FA","Bye","0","0","","0%"
"Christian French","(N/A)","DE","1972","W (Wed)","Bye","0","0","","0%"
"Nolan Frese","(N/A)","DE","1973","W (Wed)","Bye","0","0","","0%"
"Chris Frey","(N/A)","LB","1974","W (Wed)","Bye","0","0","","0%"
"Isaac Fruechte","(N/A)","WR","1975","FA","Bye","0","0","","0%"
"Elliott Fry","CAR","K","1976","FA","Bye","0","0","null","0%"
"Alani Fua","(N/A)","LB","1977","W (Wed)","Bye","0","0","","0%"
"Adam Fuehne","(N/A)","TE","1978","FA","Bye","0","0","","0%"
"Travis Fulgham","DET","WR","1979","FA","Bye","0","0","null","0%"
"Corey Fuller","(N/A)","WR","1980","FA","Bye","0","0","","0%"
"Devin Fuller","(N/A)","WR","1981","FA","Bye","0","0","","0%"
"Ahmad Fulwood","(N/A)","WR","1982","FA","Bye","0","0","","0%"
"Blaine Gabbert","TB","QB","1983","FA","Bye","0","0","null","0%"
"Josh Gable","(N/A)","K","1984","FA","Bye","0","0","","0%"
"Doug Gabriel","(N/A)","WR","1985","FA","Bye","0","0","","0%"
"Andrew Gachkar","(N/A)","LB","1986","W (Wed)","Bye","0","0","","0%"
"Tyler Gaffney","(N/A)","RB","1987","FA","Bye","0","0","","0%"
"E.J. Gaines","BUF","CB","1988","W (Wed)","Bye","0","0","null","0%"
"Rohan Gaines","(N/A)","S","1989","W (Wed)","Bye","0","0","","0%"
"Matt Galambos","(N/A)","LB","1990","W (Wed)","Bye","0","0","","0%"
"Junior Galette","(N/A)","LB","1991","W (Wed)","Bye","0","0","","0%"
"Ironhead Gallon","(N/A)","S","1992","W (Wed)","Bye","0","0","","0%"
"Patrick Gamble","(N/A)","DE","1993","W (Wed)","Bye","0","0","","0%"
"Ty Gangi","(N/A)","QB","1994","FA","Bye","0","0","","0%"
"Jack Gangwish","(N/A)","DE","1995","W (Wed)","Bye","0","0","","0%"
"Graham Gano","CAR","K","1996","FA","Bye","0","0","null","0%"
"Malik Gant","NE","S","1997","W (Wed)","Bye","0","0","null","0%"
"Jake Ganus","(N/A)","LB","1998","W (Wed)","Bye","0","0","","0%"
"Jamell Garcia-Williams","(N/A)","DT","1999","W (Wed)","Bye","0","0","","0%"
"Jerrol Garcia-Williams","(N/A)","LB","2000","W (Wed)","Bye","0","0","","0%"
"Pierre Garcon","(N/A)","WR","2001","FA","Bye","0","0","","0%"
"Ja'Quan Gardner","(N/A)","RB","2002","FA","Bye","0","0","","0%"
"James Gardner","(N/A)","WR","2003","FA","Bye","0","0","","0%"
"Manasseh Garner","(N/A)","TE","2004","FA","Bye","0","0","","0%"
"Keyarris Garrett","(N/A)","WR","2005","FA","Bye","0","0","","0%"
"Terence Garvin","SF","LB","2006","W (Wed)","Bye","0","0","null","0%"
"Kendall Gaskins","(N/A)","RB","2007","FA","Bye","0","0","","0%"
"DeMarquis Gates","MIN","LB","2008","W (Wed)","Bye","0","0","null","0%"
"Warren Gatewood","(N/A)","CB","2009","W (Wed)","Bye","0","0","","0%"
"Rico Gathers","(N/A)","TE","2010","FA","Bye","0","0","","0%"
"Stafford Gatling","NYJ","TE,LB","2011","FA","Bye","0","0","null","0%"
"Quentin Gause","(N/A)","LB","2012","W (Wed)","Bye","0","0","","0%"
"Jordan Gay","(N/A)","K","2013","FA","Bye","0","0","","0%"
"William Gay","(N/A)","CB","2014","W (Wed)","Bye","0","0","","0%"
"Austin Gearing","(N/A)","DE,LB","2015","W (Wed)","Bye","0","0","","0%"
"Tanner Gentry","(N/A)","WR","2016","FA","Bye","0","0","","0%"
"Jeremiah George","(N/A)","LB","2017","W (Wed)","Bye","0","0","","0%"
"Toby Gerhart","(N/A)","RB","2018","FA","Bye","0","0","","0%"
"C.J. Germany","(N/A)","WR","2019","FA","Bye","0","0","","0%"
"Jake Gervase","LAR","S","2020","W (Wed)","Bye","0","0","null","0%"
"Deonte Gibson","TB","DE","2021","W (Wed)","Bye","0","0","null","0%"
"Shelton Gibson","PHI","WR","2022","FA","Bye","0","0","null","0%"
"Wallace Gilberry","(N/A)","DE","2023","W (Wed)","Bye","0","0","","0%"
"Jimmie Gilbert","(N/A)","LB","2024","W (Wed)","Bye","0","0","","0%"
"Justin Gilbert","PIT","CB","2025","W (Wed)","Bye","0","0","null","0%"
"Kennan Gilchrist","(N/A)","LB","2026","W (Wed)","Bye","0","0","","0%"
"Cullen Gillaspia","HOU","RB","2027","FA","Bye","0","0","null","0%"
"Mike Gillislee","NO","RB","2028","FA","Bye","0","0","null","0%"
"Crockett Gillmore","(N/A)","TE","2029","FA","Bye","0","0","","0%"
"Greg Gilmore","(N/A)","DT","2030","W (Wed)","Bye","0","0","","0%"
"Frank Ginda","(N/A)","LB","2031","W (Wed)","Bye","0","0","","0%"
"Chris Givens","(N/A)","WR","2032","FA","Bye","0","0","","0%"
"Mike Glass III","(N/A)","QB","2033","FA","Bye","0","0","","0%"
"Tyquwan Glass","(N/A)","CB","2034","W (Wed)","Bye","0","0","","0%"
"Cameron Glenn","(N/A)","S","2035","W (Wed)","Bye","0","0","","0%"
"Jacoby Glenn","(N/A)","CB","2036","W (Wed)","Bye","0","0","","0%"
"David Glidden","(N/A)","WR","2037","FA","Bye","0","0","","0%"
"Antonio Glover","(N/A)","S","2038","W (Wed)","Bye","0","0","","0%"
"Matthew Godin","(N/A)","DE","2039","W (Wed)","Bye","0","0","","0%"
"Dan Godsil","CIN","TE","2040","FA","Bye","0","0","null","0%"
"Terry Godwin","JAX","WR","2041","FA","Bye","0","0","null","0%"
"Randall Goforth","(N/A)","CB","2042","W (Wed)","Bye","0","0","","0%"
"Elijaah Goins","(N/A)","WR","2043","FA","Bye","0","0","","0%"
"Brittan Golden","NYG","WR","2044","FA","Bye","0","0","null","0%"
"Jamal Golden","(N/A)","S","2045","W (Wed)","Bye","0","0","","0%"
"Malik Golden","(N/A)","S","2046","W (Wed)","Bye","0","0","","0%"
"Robert Golden","(N/A)","S","2047","W (Wed)","Bye","0","0","","0%"
"Dashon Goldson","(N/A)","S","2048","W (Wed)","Bye","0","0","","0%"
"Senquez Golson","(N/A)","CB","2049","W (Wed)","Bye","0","0","","0%"
"Kedric Golston","(N/A)","DT","2050","W (Wed)","Bye","0","0","","0%"
"LaQuvionte Gonzalez","(N/A)","WR","2051","FA","Bye","0","0","","0%"
"Zaviar Gooden","(N/A)","LB","2052","W (Wed)","Bye","0","0","","0%"
"Antwan Goodley","(N/A)","WR","2053","FA","Bye","0","0","","0%"
"Malliciah Goodman","(N/A)","DE","2054","W (Wed)","Bye","0","0","","0%"
"Demetri Goodson","(N/A)","CB","2055","W (Wed)","Bye","0","0","","0%"
"DeAndre Goolsby","(N/A)","TE","2056","FA","Bye","0","0","","0%"
"Derrick Gore","(N/A)","RB","2057","FA","Bye","0","0","","0%"
"Jarrett Grace","(N/A)","LB","2058","W (Wed)","Bye","0","0","","0%"
"Bruce Gradkowski","PIT","QB","2059","FA","Bye","0","0","null","0%"
"Chris Gragg","(N/A)","TE","2060","FA","Bye","0","0","","0%"
"Corey Graham","(N/A)","S","2061","W (Wed)","Bye","0","0","","0%"
"Garrett Graham","DEN","TE","2062","FA","Bye","0","0","null","0%"
"Tyson Graham","(N/A)","S","2063","W (Wed)","Bye","0","0","","0%"
"Antwane Grant","(N/A)","WR","2064","FA","Bye","0","0","","0%"
"Corey Grant","(N/A)","RB","2065","FA","Bye","0","0","","0%"
"Curtis Grant","(N/A)","LB","2066","W (Wed)","Bye","0","0","","0%"
"Doran Grant","(N/A)","CB","2067","W (Wed)","Bye","0","0","","0%"
"Janarion Grant","(N/A)","WR","2068","FA","Bye","0","0","","0%"
"Ryan Grant","(N/A)","RB","2069","FA","Bye","0","0","","0%"
"Dwayne Gratz","(N/A)","CB","2070","W (Wed)","Bye","0","0","","0%"
"Alex Gray","(N/A)","S","2071","W (Wed)","Bye","0","0","","0%"
"Alex Gray","(N/A)","TE","2072","FA","Bye","0","0","","0%"
"Daniel Gray","(N/A)","CB","2073","W (Wed)","Bye","0","0","","0%"
"Deante' Gray","(N/A)","WR","2074","FA","Bye","0","0","","0%"
"Devin Gray","ATL","WR","2075","FA","Bye","0","0","null","0%"
"Jonas Gray","(N/A)","RB","2076","FA","Bye","0","0","","0%"
"MarQueis Gray","(N/A)","TE","2077","FA","Bye","0","0","","0%"
"Trayone Gray","(N/A)","RB","2078","FA","Bye","0","0","","0%"
"Tyler Gray","(N/A)","LB","2079","W (Wed)","Bye","0","0","","0%"
"Davon Grayson","(N/A)","WR","2080","FA","Bye","0","0","","0%"
"Garrett Grayson","(N/A)","QB","2081","FA","Bye","0","0","","0%"
"Aaron Green","(N/A)","RB","2082","FA","Bye","0","0","","0%"
"Gerri Green","IND","DE","2083","W (Wed)","Bye","0","0","null","0%"
"John Green","(N/A)","CB","2084","W (Wed)","Bye","0","0","","0%"
"Ladarius Green","(N/A)","TE","2085","FA","Bye","0","0","","0%"
"Marcus Green","PHI","WR","2086","FA","Bye","0","0","null","0%"
"Tion Green","(N/A)","RB","2087","FA","Bye","0","0","","0%"
"Torrey Green","(N/A)","LB","2088","W (Wed)","Bye","0","0","","0%"
"Trent Green","(N/A)","QB","2089","FA","Bye","0","0","","0%"
"Dorial Green-Beckham","(N/A)","WR","2090","FA","Bye","0","0","","0%"
"Rashad Greene Sr.","(N/A)","WR","2091","FA","Bye","0","0","","0%"
"Jalen Greene","(N/A)","WR","2092","FA","Bye","0","0","","0%"
"Khaseem Greene","(N/A)","LB","2093","W (Wed)","Bye","0","0","","0%"
"Randy Gregory","DAL","DE","2094","W (Wed)","Bye","0","0","null","0%"
"Jermaine Gresham","(N/A)","TE","2095","FA","Bye","0","0","","0%"
"Marion Grice","(N/A)","RB","2096","FA","Bye","0","0","","0%"
"Trey Griffey","(N/A)","WR","2097","FA","Bye","0","0","","0%"
"Corey Griffin","(N/A)","S","2098","W (Wed)","Bye","0","0","","0%"
"Garrett Griffin","NO","TE","2099","FA","Bye","0","0","null","0%"
"Taj Griffin","(N/A)","RB","2100","FA","Bye","0","0","","0%"
"Nicholas Grigsby","(N/A)","LB","2101","W (Wed)","Bye","0","0","","0%"
"Brent Grimes","(N/A)","CB","2102","W (Wed)","Bye","0","0","","0%"
"Jonathan Grimes","(N/A)","RB","2103","FA","Bye","0","0","","0%"
"David Grinnage","(N/A)","TE","2104","FA","Bye","0","0","","0%"
"Geneo Grissom","(N/A)","DE","2105","W (Wed)","Bye","0","0","","0%"
"Darion Griswold","(N/A)","TE","2106","FA","Bye","0","0","","0%"
"Glenn Gronkowski","(N/A)","RB","2107","FA","Bye","0","0","","0%"
"Aaron Grymes","(N/A)","CB","2108","W (Wed)","Bye","0","0","","0%"
"Romell Guerrier","(N/A)","WR","2109","FA","Bye","0","0","","0%"
"Stephen Guidry","(N/A)","WR","2110","FA","Bye","0","0","","0%"
"Letroy Guion","GB","DT","2111","W (Wed)","Bye","0","0","null","0%"
"LaDarius Gunter","(N/A)","CB","2112","W (Wed)","Bye","0","0","","0%"
"Winston Guy","IND","S","2113","W (Wed)","Bye","0","0","null","0%"
"Jalen Guyton","LAC","WR","2114","FA","Bye","0","0","null","0%"
"Obum Gwacham","(N/A)","DE,LB","2115","W (Wed)","Bye","0","0","","0%"
"Christian Hackenberg","(N/A)","QB","2116","FA","Bye","0","0","","0%"
"RaShede Hageman","(N/A)","DT","2117","W (Wed)","Bye","0","0","","0%"
"Jacob Hagen","(N/A)","S","2118","W (Wed)","Bye","0","0","","0%"
"Tamba Hali","(N/A)","LB","2119","W (Wed)","Bye","0","0","","0%"
"Darrin Hall","PIT","RB","2120","FA","Bye","0","0","null","0%"
"Deiondre' Hall","TB","S","2121","W (Wed)","Bye","0","0","null","0%"
"Emanuel Hall","WAS","WR","2122","FA","Bye","0","0","null","0%"
"Jason Hall","(N/A)","LB,S","2123","W (Wed)","Bye","0","0","","0%"
"Kemon Hall","MIN","CB","2124","W (Wed)","Bye","0","0","null","0%"
"Leon Hall","(N/A)","CB","2125","W (Wed)","Bye","0","0","","0%"
"Nate Hall","HOU","LB","2126","W (Wed)","Bye","0","0","null","0%"
"Rannell Hall","(N/A)","WR","2127","FA","Bye","0","0","","0%"
"Reggie Hall","(N/A)","CB","2128","W (Wed)","Bye","0","0","","0%"
"Terez Hall","NE","LB","2129","W (Wed)","Bye","0","0","null","0%"
"Cobi Hamilton","(N/A)","WR","2130","FA","Bye","0","0","","0%"
"Javien Hamilton","(N/A)","CB","2131","W (Wed)","Bye","0","0","","0%"
"Justin Hamilton","DAL","DT","2132","W (Wed)","Bye","0","0","null","0%"
"Karel Hamilton","(N/A)","WR","2133","FA","Bye","0","0","","0%"
"Woodrow Hamilton","CAR","DT","2134","W (Wed)","Bye","0","0","null","0%"
"Connor Hamlett","(N/A)","TE","2135","FA","Bye","0","0","","0%"
"Je'Ron Hamm","(N/A)","TE","2136","FA","Bye","0","0","","0%"
"De'Quan Hampton","(N/A)","WR","2137","FA","Bye","0","0","","0%"
"Leonard Hankerson","(N/A)","WR","2138","FA","Bye","0","0","","0%"
"Terrill Hanks","MIA","LB","2139","W (Wed)","Bye","0","0","null","0%"
"Micah Hannemann","(N/A)","S","2140","W (Wed)","Bye","0","0","","0%"
"Russell Hansbrough","(N/A)","RB","2141","FA","Bye","0","0","","0%"
"Chad Hansen","HOU","WR","2142","FA","Bye","0","0","null","0%"
"Chase Hansen","NO","LB","2143","W (Wed)","Bye","0","0","null","0%"
"Justice Hansen","(N/A)","QB","2144","FA","Bye","0","0","","0%"
"Joe Hansley","(N/A)","WR","2145","FA","Bye","0","0","","0%"
"Clay Harbor","(N/A)","TE","2146","FA","Bye","0","0","","0%"
"Marcus Hardison","(N/A)","DT","2147","W (Wed)","Bye","0","0","","0%"
"Greg Hardy","(N/A)","DE","2148","W (Wed)","Bye","0","0","","0%"
"J.D. Harmon","(N/A)","CB","2149","W (Wed)","Bye","0","0","","0%"
"Eli Harold","(N/A)","DE,LB","2150","W (Wed)","Bye","0","0","","0%"
"Chris Harper","(N/A)","WR","2151","FA","Bye","0","0","","0%"
"Jarrod Harper","(N/A)","S","2152","W (Wed)","Bye","0","0","","0%"
"Roman Harper","(N/A)","S","2153","W (Wed)","Bye","0","0","","0%"
"Anthony Harrell","(N/A)","LB","2154","W (Wed)","Bye","0","0","","0%"
"Joey Harrington","(N/A)","QB","2155","FA","Bye","0","0","","0%"
"Tim Harris Jr.","SF","CB","2156","W (Wed)","Bye","0","0","null","0%"
"Ajene Harris","(N/A)","CB","2157","W (Wed)","Bye","0","0","","0%"
"Alonzo Harris","BAL","RB","2158","FA","Bye","0","0","null","0%"
"Chris Harris","JAX","S","2159","W (Wed)","Bye","0","0","null","0%"
"Chuck Harris","JAX","DE","2160","W (Wed)","Bye","0","0","null","0%"
"Clark Harris","CIN","TE","2161","FA","Bye","0","0","null","0%"
"Connor Harris","(N/A)","LB","2162","W (Wed)","Bye","0","0","","0%"
"Darien Harris","(N/A)","LB","2163","W (Wed)","Bye","0","0","","0%"
"Darius Harris","KC","LB","2164","W (Wed)","Bye","0","0","null","0%"
"DeVante Harris","(N/A)","CB","2165","W (Wed)","Bye","0","0","","0%"
"Deion Harris","(N/A)","CB","2166","W (Wed)","Bye","0","0","","0%"
"DuJuan Harris","(N/A)","RB","2167","FA","Bye","0","0","","0%"
"Jackson Harris","(N/A)","TE","2168","FA","Bye","0","0","","0%"
"Jeremiah Harris","(N/A)","DE","2169","W (Wed)","Bye","0","0","","0%"
"John Harris","(N/A)","WR","2170","FA","Bye","0","0","","0%"
"Maurice Harris","NO","WR","2171","FA","Bye","0","0","null","0%"
"Najee Harris","(N/A)","LB","2172","W (Wed)","Bye","0","0","","0%"
"Nigel Harris","TEN","LB","2173","W (Wed)","Bye","0","0","null","0%"
"R.J. Harris","(N/A)","WR","2174","FA","Bye","0","0","","0%"
"Tylor Harris","(N/A)","DE","2175","W (Wed)","Bye","0","0","","0%"
"Vernon Harris","(N/A)","CB","2176","W (Wed)","Bye","0","0","","0%"
"Derek Hart","GB","TE,LB","2177","FA","Bye","0","0","null","0%"
"Penny Hart","SEA","WR","2178","FA","Bye","0","0","null","0%"
"Trevon Hartfield","(N/A)","CB","2179","W (Wed)","Bye","0","0","","0%"
"Tre Hartley","(N/A)","WR","2180","FA","Bye","0","0","","0%"
"Brian Hartline","(N/A)","WR","2181","FA","Bye","0","0","","0%"
"Jalen Harvey","(N/A)","S","2182","W (Wed)","Bye","0","0","","0%"
"Nate Harvey","NYG","DE","2183","W (Wed)","Bye","0","0","null","0%"
"Anas Hasic","(N/A)","WR","2184","FA","Bye","0","0","","0%"
"Keon Hatcher","NYJ","WR","2185","FA","Bye","0","0","null","0%"
"Clayton Hatfield","(N/A)","K","2186","FA","Bye","0","0","","0%"
"Dominique Hatfield","CAR","CB","2187","W (Wed)","Bye","0","0","null","0%"
"Rickey Hatley","(N/A)","DT","2188","W (Wed)","Bye","0","0","","0%"
"Albert Havili","(N/A)","DE","2189","W (Wed)","Bye","0","0","","0%"
"Josh Hawkins","(N/A)","CB","2190","W (Wed)","Bye","0","0","","0%"
"David Hawthorne","(N/A)","LB","2191","W (Wed)","Bye","0","0","","0%"
"Nick Hayden","(N/A)","DT","2192","W (Wed)","Bye","0","0","","0%"
"Gump Hayes","(N/A)","CB","2193","W (Wed)","Bye","0","0","","0%"
"Jay Hayes","(N/A)","DE","2194","W (Wed)","Bye","0","0","","0%"
"William Hayes","(N/A)","DE","2195","W (Wed)","Bye","0","0","","0%"
"Matt Hazel","(N/A)","WR","2196","FA","Bye","0","0","","0%"
"James Hearns","(N/A)","DE,LB","2197","W (Wed)","Bye","0","0","","0%"
"Dominique Heath","(N/A)","WR","2198","FA","Bye","0","0","","0%"
"Joel Heath","DEN","DE","2199","W (Wed)","Bye","0","0","null","0%"
