"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned"
"Nickell Robey-Coleman","PHI","CB","113","W (Wed)","Bye","69","4.31","null","25%"
"Casey Hayward Jr.","LAC","CB","114","W (Wed)","Bye","69","4.31","null","0%"
"Lonnie Johnson Jr.","HOU","CB","115","W (Wed)","Bye","68.75","4.91","null","25%"
"Rasul Douglas","PHI","CB","116","W (Wed)","Bye","68.75","4.3","null","0%"
"Lamarcus Joyner","LV","S","117","W (Wed)","Bye","68.75","4.91","null","0%"
"Allen Hurns","MIA","WR","118","FA","Bye","68.6","4.9","null","18%"
"Kamalei Correa","TEN","LB","119","W (Wed)","Bye","68.25","4.27","null","25%"
"B.W. Webb","(N/A)","CB","120","W (Wed)","Bye","68.25","4.55","","0%"
"Jordan Phillips","ARI","DT","121","W (Wed)","Bye","68.12","4.26","null","75%"
"Aldrick Rosas","NYG","K","122","FA","Bye","68","4.25","null","17%"
"Albert Wilson","MIA","WR","123","FA","Bye","67.9","5.22","null","18%"
"Samuel Eguavoen","MIA","LB","124","W (Wed)","Bye","67.88","4.24","null","0%"
"J.D. McKissic","WAS","RB","125","FA","Bye","67.65","4.23","null","12%"
"Demaryius Thomas","(N/A)","WR","126","FA","Bye","67.3","6.12","","12%"
"Jakeem Grant","MIA","WR","127","FA","Bye","66.6","6.66","null","18%"
"Linval Joseph","LAC","DT","128","W (Wed)","Bye","66.5","5.12","null","50%"
"Vernon Butler","BUF","DT","129","W (Wed)","Bye","66.25","4.73","null","50%"
"Morgan Burnett","(N/A)","S","130","W (Wed)","Bye","66.25","8.28","","25%"
"Gerald McCoy","DAL","DT","131","W (Wed)","Bye","65","4.06","null","50%"
"Brandon Copeland","NE","LB","132","W (Wed)","Bye","64.88","5.41","null","0%"
"Vance McDonald","PIT","TE","133","FA","Bye","64.5","4.61","null","53%"
"Michael Badgley","LAC","K","134","FA","Bye","64","8","null","33%"
"Jermaine Whitehead","(N/A)","S","135","W (Wed)","Bye","64","8","","0%"
"Leon Jacobs","JAX","LB","136","W (Wed)","Bye","63.75","4.55","null","0%"
"Isaac Yiadom","DEN","CB","137","W (Wed)","Bye","63.75","3.98","null","0%"
"Sebastian Joseph-Day","LAR","DT","138","W (Wed)","Bye","63","3.94","null","25%"
"Denico Autry","IND","DT","139","W (Wed)","Bye","62.88","4.49","null","0%"
"DaQuan Jones","TEN","DT","140","W (Wed)","Bye","62.75","3.92","null","25%"
"Deonte Harris","NO","WR","141","FA","Bye","62.6","4.47","null","12%"
"Jimmy Moreland","WAS","CB","142","W (Wed)","Bye","62.5","4.46","null","0%"
"Tyson Alualu","PIT","DE","143","W (Wed)","Bye","62.25","3.89","null","0%"
"Roderic Teamer","LAC","S","144","W (Wed)","Bye","62.25","8.89","null","0%"
"Ahkello Witherspoon","SF","CB","145","W (Wed)","Bye","62","6.2","null","25%"
"Jeff Driskel","DEN","QB","146","FA","Bye","61.6","20.53","null","0%"
"Adam Butler","NE","DT","147","W (Wed)","Bye","61.5","3.84","null","0%"
"Wesley Woodyard","(N/A)","LB","148","W (Wed)","Bye","61","4.07","","0%"
"David Blough","DET","QB","149","FA","Bye","60.86","12.17","null","0%"
"Leonard Floyd","LAR","LB","150","W (Wed)","Bye","60.75","3.8","null","50%"
"Devlin Hodges","PIT","QB","151","FA","Bye","60.32","7.54","null","0%"
"Kevin Johnson","CLE","CB","152","W (Wed)","Bye","60.25","3.77","null","0%"
"Arthur Maulet","NYJ","CB","153","W (Wed)","Bye","60.25","5.02","null","0%"
"Chandon Sullivan","GB","CB","154","W (Wed)","Bye","60.25","3.77","null","0%"
"Mike Purcell","DEN","DT","155","W (Wed)","Bye","60","4.62","null","25%"
"Damiere Byrd","NE","WR","156","FA","Bye","59.85","5.44","null","12%"
"Jimmy Smith","BAL","CB","157","W (Wed)","Bye","59.75","6.64","null","0%"
"Nick Boyle","BAL","TE","158","FA","Bye","59.6","3.73","null","18%"
"Geronimo Allison","DET","WR","159","FA","Bye","59.4","3.71","null","29%"
"Will Parks","PHI","S","160","W (Wed)","Bye","59.25","4.23","null","0%"
"Richie James Jr.","SF","WR","161","FA","Bye","59","3.69","null","6%"
"Nick Folk","(N/A)","K","162","FA","Bye","59","8.43","","0%"
"Trevor Davis","(N/A)","WR","163","FA","Bye","58.95","4.21","","0%"
"Darqueze Dennard","CIN","CB","164","W (Wed)","Bye","58.75","6.53","null","0%"
"Dontrell Hilliard","CLE","RB","165","FA","Bye","58.5","4.18","null","6%"
"Javien Elliott","(N/A)","CB","166","W (Wed)","Bye","58.38","3.65","","0%"
"Kemal Ishmael","(N/A)","S","167","W (Wed)","Bye","58.25","4.16","","0%"
"William Jackson III","CIN","CB","168","W (Wed)","Bye","58.25","4.16","null","0%"
"Kevin Pierre-Louis","WAS","LB","169","W (Wed)","Bye","58.25","4.16","null","0%"
"Vita Vea","TB","DT","170","W (Wed)","Bye","58.12","3.63","null","50%"
"Josey Jewell","DEN","LB","171","W (Wed)","Bye","58.12","3.88","null","0%"
"Desmond Trufant","DET","CB","172","W (Wed)","Bye","58","6.44","null","25%"
"Michael Bennett","(N/A)","DE","173","W (Wed)","Bye","57.88","3.86","","0%"
"Sidney Jones","PHI","CB","174","W (Wed)","Bye","57.75","4.81","null","0%"
"Dre Kirkpatrick","(N/A)","CB","175","W (Wed)","Bye","57.25","9.54","","25%"
"Brandon Facyson","LAC","CB","176","W (Wed)","Bye","57","3.56","null","0%"
"Grant Haley","NYG","CB","177","W (Wed)","Bye","56.5","3.77","null","0%"
"Vyncint Smith","NYJ","WR","178","FA","Bye","56.15","4.32","null","6%"
"George Odum","IND","S","179","W (Wed)","Bye","56","3.5","null","0%"
"David Moore","SEA","WR","180","FA","Bye","55.85","3.99","null","12%"
"Kyle Phillips","NYJ","DE","181","W (Wed)","Bye","55.38","3.69","null","25%"
"William Gholston","TB","DE","182","W (Wed)","Bye","55.25","3.45","null","25%"
"Tyus Bowser","BAL","LB","183","W (Wed)","Bye","55.25","3.45","null","0%"
"Austin Calitro","JAX","LB","184","W (Wed)","Bye","55.25","4.25","null","0%"
"Steve McLendon","NYJ","DT","185","W (Wed)","Bye","55.12","3.45","null","0%"
"Giovani Bernard","CIN","RB","186","FA","Bye","55.1","3.44","null","35%"
"Dion Lewis","NYG","RB","187","FA","Bye","54.8","3.43","null","41%"
"Jayron Kearse","DET","S","188","W (Wed)","Bye","54.5","3.63","null","0%"
"Corey Peters","ARI","DT","189","W (Wed)","Bye","54.38","3.4","null","25%"
"L.J. Fort","BAL","LB","190","W (Wed)","Bye","54.25","3.39","null","0%"
"Malcom Brown","NO","DT","191","W (Wed)","Bye","53.75","3.36","null","25%"
"Isaiah McKenzie","BUF","WR","192","FA","Bye","53.25","3.55","null","6%"
"Josh Hill","NO","TE","193","FA","Bye","53.1","3.32","null","12%"
"Ricky Seals-Jones","KC","TE","194","FA","Bye","52.9","3.78","null","12%"
"Quinton Jefferson","BUF","DE","195","W (Wed)","Bye","52.88","3.78","null","0%"
"Jalen Reeves-Maybin","DET","LB","196","W (Wed)","Bye","52.75","3.3","null","0%"
"Taven Bryan","JAX","DT","197","W (Wed)","Bye","52.5","3.28","null","25%"
"Ryan Kerrigan","WAS","LB","198","W (Wed)","Bye","52.12","4.34","null","25%"
"Kai Forbath","DAL","K","199","FA","Bye","52","13","null","17%"
"Ryan Lewis","MIA","CB","200","W (Wed)","Bye","52","4","null","0%"
"LeShaun Sims","CIN","CB","201","W (Wed)","Bye","52","3.71","null","0%"
"Jerry Hughes","BUF","DE","202","W (Wed)","Bye","51.88","3.24","null","0%"
"Cassius Marsh","JAX","LB","203","W (Wed)","Bye","51.88","3.24","null","0%"
"Roy Robertson-Harris","CHI","DE","204","W (Wed)","Bye","51.88","3.46","null","0%"
"Jaylon Ferguson","BAL","LB","205","W (Wed)","Bye","51.38","3.67","null","25%"
"Jordan Wilkins","IND","RB","206","FA","Bye","51.25","3.66","null","12%"
"Will Compton","(N/A)","LB","207","W (Wed)","Bye","51.25","5.69","","0%"
"Davontae Harris","DEN","CB","208","W (Wed)","Bye","51.25","3.2","null","0%"
"David Onyemata","NO","DT","209","W (Wed)","Bye","50.75","3.38","null","25%"
"Kevin Minter","TB","LB","210","W (Wed)","Bye","50.75","3.17","null","0%"
"Maurice Hurst","LV","DT","211","W (Wed)","Bye","50.62","3.16","null","25%"
"Paul Richardson Jr.","(N/A)","WR","212","FA","Bye","50.5","5.05","","6%"
"Chris Wormley","PIT","DE","213","W (Wed)","Bye","50.38","3.15","null","0%"
"Uchenna Nwosu","LAC","LB","214","W (Wed)","Bye","50","3.12","null","25%"
"Marqui Christian","LAR","S","215","W (Wed)","Bye","50","3.12","null","0%"
"DaeSean Hamilton","DEN","WR","216","FA","Bye","49.7","3.11","null","53%"
"C.J. Uzomah","CIN","TE","217","FA","Bye","49.7","3.11","null","35%"
"Seth Roberts","CAR","WR","218","FA","Bye","49.6","3.1","null","6%"
"Chad Thomas","CLE","DE","219","W (Wed)","Bye","49.25","3.08","null","25%"
"Al Woods","JAX","DT","220","W (Wed)","Bye","49.25","3.52","null","0%"
"Ameer Abdullah","MIN","RB","221","FA","Bye","49.05","3.07","null","0%"
"Duron Harmon","DET","S","222","W (Wed)","Bye","49","3.06","null","0%"
"Marcus Johnson","(N/A)","WR","223","FA","Bye","48.9","6.11","","6%"
