Rk,Player,,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
83,Malcolm Brown,BrowMa03,RB,27.156,10/18/20,NFL,LAR,@,SFO,L 16-24,6,6,Sun,2,4,2,0
84,Chase Claypool,ClayCh01,WR,22.103,10/18/20,NFL,PIT,,CLE,W 38-7,5,6,Sun,2,7,3.5,1
85,Andy Dalton,DaltAn00,QB,32.356,10/19/20,NFL,DAL,,ARI,L 10-38,6,6,Mon,2,4,2,0
86,Jalen Hurts,HurtJa00,QB,22.072,10/18/20,NFL,PHI,,BAL,L 28-30,6,6,Sun,2,23,11.5,0
87,Aaron Rodgers,RodgAa00,QB,36.321,10/18/20,NFL,GNB,@,TAM,L 10-38,5,6,Sun,2,14,7,0
88,Boston Scott,ScotBo02,RB,25.174,10/18/20,NFL,PHI,,BAL,L 28-30,6,6,Sun,2,4,2,0
89,Ito Smith,SmitIt00,RB,25.037,10/18/20,NFL,ATL,@,MIN,W 40-23,6,6,Sun,2,8,4,0
90,Robert Woods,WoodRo02,WR,28.191,10/18/20,NFL,LAR,@,SFO,L 16-24,6,6,Sun,2,11,5.5,0
91,Mike Boone,BoonMi00,RB,25.11,10/18/20,NFL,MIN,,ATL,L 23-40,6,6,Sun,1,-1,-1,0
92,Tyler Boyd,BoydTy00,WR,25.338,10/18/20,NFL,CIN,@,IND,L 27-31,6,6,Sun,1,25,25,0
93,Trey Burton,BurtTr01,TE,28.355,10/18/20,NFL,IND,,CIN,W 31-27,6,6,Sun,1,1,1,1
94,Ryan Fitzpatrick,FitzRy00,QB,37.329,10/18/20,NFL,MIA,,NYJ,W 24-0,6,6,Sun,1,4,4,0
95,Joe Flacco,FlacJo00,QB,35.276,10/18/20,NFL,NYJ,@,MIA,L 0-24,6,6,Sun,1,0,0,0
96,Jared Goff,GoffJa00,QB,26.004,10/18/20,NFL,LAR,@,SFO,L 16-24,6,6,Sun,1,10,10,0
97,Marvin Hall,HallMa02,WR,27.191,10/18/20,NFL,DET,@,JAX,W 34-16,5,6,Sun,1,1,1,0
98,Tee Higgins,HiggTe00,WR,21.274,10/18/20,NFL,CIN,@,IND,L 27-31,6,6,Sun,1,2,2,0
99,Tyreek Hill,HillTy00,WR,26.232,10/19/20,NFL,KAN,@,BUF,W 26-17,6,6,Mon,1,5,5,0
100,Baker Mayfield,MayfBa00,QB,25.187,10/18/20,NFL,CLE,@,PIT,L 7-38,6,6,Sun,1,5,5,0
101,Cordarrelle Patterson,PattCo00,WR,29.215,10/18/20,NFL,CHI,@,CAR,W 23-16,6,6,Sun,1,1,1,0
102,Samaje Perine,PeriSa00,HB,25.032,10/18/20,NFL,CIN,@,IND,L 27-31,6,6,Sun,1,0,0,0
103,Calvin Ridley,RidlCa00,WR,25.303,10/18/20,NFL,ATL,@,MIN,W 40-23,6,6,Sun,1,8,8,0
104,Philip Rivers,RivePh00,QB,38.315,10/18/20,NFL,IND,,CIN,W 31-27,6,6,Sun,1,-1,-1,0
105,Deebo Samuel,SamuDe00,WR,24.277,10/18/20,NFL,SFO,,LAR,W 24-16,6,6,Sun,1,-6,-6,0
106,Laviska Shenault Jr.,ShenLa00,WR,22.013,10/18/20,NFL,JAX,,DET,L 16-34,6,6,Sun,1,1,1,0
107,Darius Slayton,SlayDa01,WR,23.28,10/18/20,NFL,NYG,,WAS,W 20-19,6,6,Sun,1,-3,-3,0
108,Diontae Spencer,SpenDi00,WR,28.213,10/18/20,NFL,DEN,@,NWE,W 18-12,5,6,Sun,1,9,9,0
109,Jordan Wilkins,WilkJo01,RB,26.092,10/18/20,NFL,IND,,CIN,W 31-27,6,6,Sun,1,-1,-1,0
110,Isaiah Wright,WrigIs01,WR,23.279,10/18/20,NFL,WAS,@,NYG,L 19-20,6,6,Sun,1,1,1,0
